id,content,label
1,"【特別企画】Amazonギフト券プレゼントキャンペーン！ お客様各位、この度、Amazonでは特別キャンペーンとしてギフト券10,000円分を抽選でプレゼントいたします。応募は簡単！以下のリンクからエントリーしてください。▼ 今すぐエントリーする https://amazon-gift2024.com ※本キャンペーンは本日限りの受付です。お急ぎください。",Phishing
2,"【重要】アカウントロック解除のご案内 お客様のアカウントに異常が検出されました。セキュリティ保護のため、アカウントを一時ロックいたしました。以下のリンクからロック解除手続きをお願いいたします。▼ ロック解除手続き https://secure-update-account.com ※24時間以内に対応がない場合、アカウントは削除されます。",Phishing
3,"【重要】クレジットカードの不正利用確認 平素は弊社カードをご利用いただき、誠にありがとうございます。本日、海外からのアクセスによる利用が確認されました。内容をご確認のうえ、以下のリンクより利用停止処理を行ってください。▼ 利用停止手続きはこちら https://fraud-alert-card.com ※期限内に手続きを行わない場合、カードの利用が制限される場合がございます。",Phishing
4,"【重要】緊急！お客様のアカウントに不正アクセスが確認されました。直ちに以下のリンクからアカウント情報を更新してください：https://account-update-alert.com",Phishing
5,"【重要】ご注文ありがとうございます。お客様の注文が確認されました。発送のため、以下のリンクから配送先情報を確認してください：https://order-confirmation-verify.com",Phishing
6,"【ご案内】銀行口座の振込手続きが完了しました。詳細な取引情報をご確認いただくために、以下のリンクからログインしてください：https://banking-secure-logon.com",Phishing
7,"【重要】お知らせです。お客様がご登録のメールアドレスで重要なお知らせがあります。以下のリンクからご確認ください。https://important-update-info.com",Phishing
8,"【銀行】重要なお知らせ：口座の利用制限がかかりました。口座を復旧するために必要な手続きを以下のリンクから行ってください。https://account-recovery-link.com",Phishing
9,"【クレジットカード】利用停止手続きのお願い 〇〇様、カード利用停止の手続きが未完了です。以下のリンクから処理を完了してください。https://card-service-info.com",Phishing
10,"【パスワードリセット】新しいパスワードを設定してください。以下のリンクからパスワードのリセットを行ってください。https://password-reset-request.com",Phishing
11,"【JCBカード】ご利用明細が確定しました 〇〇 様 いつもJCBカードをご利用いただき、誠にありがとうございます。先月のクレジットカードご利用明細が確定いたしましたので、ご連絡いたします。カード会員専用Webサービス「MyJCB」にログインのうえ、ご利用内容をぜひご確認ください。ご利用やお支払いにつきましてご不明な点がございましたら、下記カスタマーサポートまでお問い合わせください。これからも、JCBカードをどうぞよろしくお願いいたします。",Safe
12,"【JCBカード】キャッシュバックキャンペーン当選のお知らせ 〇〇 様 平素よりJCBカードをご愛顧いただき、誠にありがとうございます。先日実施しておりました「ご利用金額に応じたキャッシュバックキャンペーン」におきまして、〇〇 様が当選されましたことをお知らせいたします。特典内容: 500円分のキャッシュバック キャッシュバック時期: 次回の請求金額確定後 特典は自動的に適用されますので、お客様に手続きを行っていただく必要はございません。今後とも、JCBカードをよろしくお願いいたします。",Safe
13,"【楽天カード】ご利用明細のご確認 〇〇様、楽天カードの利用明細が更新されました。以下のリンクから明細をご確認ください。詳細については楽天カードカスタマーサポートまでお問い合わせください。",Safe
14,"【ご利用明細】ご利用明細が発行されました。詳細は以下のリンクからご確認いただけます。https://your-statement-info.com",Safe
15,"【セキュリティ更新】お使いのアカウントのセキュリティを更新しました。最新のセキュリティパッチを適用するために、以下のリンクをクリックしてください。https://security-update-link.com",Safe
16,"【パスワード変更】新しいパスワードに変更しました。以下のリンクから確認を行ってください。https://confirm-password-change.com",Safe
17,"【重要】ご利用ありがとうございます。最近のご利用状況についての詳細は以下のリンクから確認できます。https://usage-info.com",Safe
18,"【お知らせ】特別なキャンペーンのご案内です。ご利用いただいているサービスで新しいキャンペーンが開始されました。以下のリンクから詳細をご確認ください。https://campaign-update.com",Safe
19,"【お知らせ】ご利用いただきありがとうございます。次回の請求情報についてのお知らせです。https://billing-info.com",Safe
20,"【重要】アカウントの更新情報があります。以下のリンクから詳細をご確認ください。https://account-update-details.com",Safe
21,"【重要】ご利用ありがとうございました。最近ご利用いただいたサービスについて、最新の利用履歴が更新されました。詳細は以下のリンクでご確認ください。https://update-history.com",Safe
22,"【新規サービス】新しいアプリケーションのご利用を開始しました。以下のリンクからログインして、新しいサービスを利用してください。https://new-service-info.com",Safe
23,"【お知らせ】重要な情報があります。以下のリンクから詳細をご確認いただけます。https://important-info.com",Safe
24,"【お支払い】次回のお支払い金額と支払い期限の通知です。以下のリンクからご確認ください。https://payment-info.com",Safe
25,"【キャンペーン】お得なキャンペーン情報をお届けします。詳細については以下のリンクをご覧ください。https://special-campaign.com",Safe

